,City,Temperature,%Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Date Time UTC,Date
0,souillac,20.21,64,40,8.23,-20.5167,57.5167,MU,1660243000,2022-08-11
1,sao filipe,26.43,72,5,5.16,14.8961,-24.4956,CV,1660243001,2022-08-11
2,jamestown,23.67,47,40,5.66,42.097,-79.2353,US,1660242879,2022-08-11
3,kapaa,26.19,76,40,7.72,22.0752,-159.319,US,1660243004,2022-08-11
4,vila velha,23.86,60,0,7.72,-20.3297,-40.2925,BR,1660243005,2022-08-11
5,saint-augustin,16.57,87,100,6.06,51.226,-58.6502,CA,1660243007,2022-08-11
6,lobau,23.88,50,0,2.84,51.1,14.6667,DE,1660243008,2022-08-11
7,mataura,-1.94,96,12,1.3,-46.1927,168.8643,NZ,1660243009,2022-08-11
8,codrington,8.03,78,100,3.12,-38.2667,141.9667,AU,1660243011,2022-08-11
9,butaritari,27.7,73,99,5.16,3.0707,172.7902,KI,1660243012,2022-08-11
10,ayorou,37.32,31,58,1.78,14.7308,0.9174,NE,1660243014,2022-08-11
11,haikou,26.07,100,20,2.0,20.0458,110.3417,CN,1660243015,2022-08-11
12,paranhos,20.91,41,0,3.09,-23.8928,-55.4311,BR,1660243017,2022-08-11
13,rikitea,22.8,72,99,9.98,-23.1203,-134.9692,PF,1660243018,2022-08-11
14,luderitz,13.85,84,32,3.97,-26.6481,15.1594,NA,1660243019,2022-08-11
15,qaanaaq,3.89,72,98,3.37,77.484,-69.3632,GL,1660243022,2022-08-11
16,atuona,24.91,74,78,12.19,-9.8,-139.0333,PF,1660243023,2022-08-11
17,port macquarie,11.05,81,100,2.87,-31.4333,152.9167,AU,1660243025,2022-08-11
18,bredasdorp,11.92,83,100,2.25,-34.5322,20.0403,ZA,1660243026,2022-08-11
19,dikson,6.79,93,99,8.63,73.5069,80.5464,RU,1660243028,2022-08-11
20,punta arenas,4.01,56,40,5.14,-53.15,-70.9167,CL,1660243029,2022-08-11
21,hamada,25.16,90,100,3.95,34.8833,132.0833,JP,1660243031,2022-08-11
22,isangel,20.66,63,6,6.62,-19.55,169.2667,VU,1660243032,2022-08-11
23,nyzhni sirohozy,27.14,33,85,4.86,46.8484,34.3804,UA,1660243033,2022-08-11
24,benjamin hill,30.58,42,47,0.52,30.1667,-111.1,MX,1660243035,2022-08-11
25,chanute,32.7,31,0,4.63,37.6792,-95.4572,US,1660243036,2022-08-11
26,ushuaia,2.81,87,40,1.03,-54.8,-68.3,AR,1660242936,2022-08-11
27,varzelandia,28.78,22,87,3.38,-15.7014,-44.0275,BR,1660243039,2022-08-11
28,leningradskiy,7.86,83,95,1.03,69.3833,178.4167,RU,1660243040,2022-08-11
29,sobolevo,16.18,65,0,3.32,54.4299,31.8996,RU,1660243042,2022-08-11
30,zunyi,21.58,94,100,1.87,27.6867,106.9072,CN,1660243043,2022-08-11
31,albany,27.99,47,92,2.86,42.6001,-73.9662,US,1660242345,2022-08-11
32,sai buri,25.29,86,100,1.51,6.7013,101.6168,TH,1660243046,2022-08-11
33,poum,20.03,62,0,3.28,-20.2333,164.0167,NC,1660243047,2022-08-11
34,deggendorf,19.41,58,54,2.61,48.8333,12.9667,DE,1660243048,2022-08-11
35,aitape,24.62,89,54,1.66,-3.1374,142.3475,PG,1660243050,2022-08-11
36,arraial do cabo,20.92,83,40,8.75,-22.9661,-42.0278,BR,1660243051,2022-08-11
37,barrow,6.01,87,100,9.77,71.2906,-156.7887,US,1660243054,2022-08-11
38,anadyr,12.78,87,40,2.0,64.75,177.4833,RU,1660243055,2022-08-11
39,darnah,26.93,71,0,8.22,32.767,22.6367,LY,1660243057,2022-08-11
40,narsaq,15.12,74,13,1.79,60.9167,-46.05,GL,1660243058,2022-08-11
41,yumen,27.49,39,0,5.36,40.2833,97.2,CN,1660243060,2022-08-11
42,avarua,23.03,83,20,6.17,-21.2078,-159.775,CK,1660242831,2022-08-11
43,yatou,21.94,90,15,0.75,37.15,122.3833,CN,1660243062,2022-08-11
44,comodoro rivadavia,15.92,36,20,7.72,-45.8667,-67.5,AR,1660242936,2022-08-11
45,richards bay,21.43,74,4,6.01,-28.783,32.0377,ZA,1660243065,2022-08-11
46,hermanus,12.11,78,100,6.06,-34.4187,19.2345,ZA,1660243067,2022-08-11
47,odoyev,16.83,75,0,2.94,53.9393,36.6864,RU,1660243068,2022-08-11
48,nikolskoye,19.95,66,100,3.53,59.7035,30.7861,RU,1660243066,2022-08-11
49,tuy hoa,25.6,82,100,3.57,13.0833,109.3,VN,1660243072,2022-08-11
50,nchelenge,21.36,46,71,1.21,-9.3451,28.734,ZM,1660243074,2022-08-11
51,geraldton,9.23,81,0,3.09,-28.7667,114.6,AU,1660243076,2022-08-11
52,cabo san lucas,33.21,51,0,5.14,22.8909,-109.9124,MX,1660242955,2022-08-11
53,puerto ayora,22.53,89,100,4.92,-0.7393,-90.3518,EC,1660243079,2022-08-11
54,port alfred,17.58,83,100,3.66,-33.5906,26.891,ZA,1660243080,2022-08-11
55,quatre cocos,21.16,69,90,8.71,-20.2078,57.7625,MU,1660242845,2022-08-11
56,abeche,23.36,87,100,2.97,13.8292,20.8324,TD,1660243083,2022-08-11
57,encinitas,30.25,60,0,2.24,33.037,-117.292,US,1660243061,2022-08-11
58,puerto baquerizo moreno,24.55,73,75,4.63,-0.9,-89.6,EC,1660243086,2022-08-11
59,aquin,31.18,59,0,1.75,18.2833,-73.4,HT,1660243087,2022-08-11
60,saquarema,20.08,71,8,9.87,-22.92,-42.5103,BR,1660243089,2022-08-11
61,hobart,6.51,89,40,1.54,-42.8794,147.3294,AU,1660243090,2022-08-11
62,pacifica,19.85,78,40,7.72,37.6138,-122.4869,US,1660242796,2022-08-11
63,hofn,11.08,83,100,7.13,64.2539,-15.2082,IS,1660243093,2022-08-11
64,lata,21.98,63,0,2.5,40.1629,-8.3327,PT,1660243095,2022-08-11
65,airai,14.07,94,80,1.37,-8.9266,125.4092,TL,1660243096,2022-08-11
66,hilo,22.88,96,100,2.06,19.7297,-155.09,US,1660243035,2022-08-11
67,general pico,19.7,32,0,2.84,-35.6566,-63.7568,AR,1660243099,2022-08-11
68,khatanga,6.82,65,100,2.63,71.9667,102.5,RU,1660243100,2022-08-11
69,eyl,25.44,72,60,9.39,7.9803,49.8164,SO,1660243101,2022-08-11
